id,source_file,timestamp,density,group,species,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
11,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240706/10MIN/WINDOWS_20240706.csv,21:24.9,1.163264,3,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019366197,0.001760563,0.014084507,0,0,0,0,0,0,0,0.001760563,0.001760563,0.028169014,0.003521127,0,0.026408451,0.017605634,0,0.028169014,0.008802817,0.001760563,0,0.001760563,0.001760563,0.056338028,0.019366197,0.001760563,0.012323944,0.019366197,0.001760563,0,0.029929577,0.026408451,0,0,0,0,0,0,0,0.042253521,0,0,0,0,0,0,0,0,0,0.00528169,0,0.047535211,0.072183099,0.008802817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240706/10MIN/WINDOWS_20240706.csv,21:28.9,1.142784,3,None,0,0.001792115,0.008960573,0.028673835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016129032,0.02688172,0.032258065,0.02688172,0.021505376,0,0,0,0.017921147,0.021505376,0.007168459,0,0,0.005376344,0.016129032,0.064516129,0.001792115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003584229,0,0.007168459,0.068100358,0.100358423,0.023297491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240706/10MIN/WINDOWS_20240706.csv,21:32.9,2.064384,3,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000992063,0.025793651,0.004960317,0.004960317,0.027777778,0.000992063,0,0.020833333,0.024801587,0.008928571,0.027777778,0.016865079,0.023809524,0.016865079,0.003968254,0,0.004960317,0.017857143,0,0.000992063,0.001984127,0.000992063,0.011904762,0.026785714,0,0.000992063,0.004960317,0.000992063,0.005952381,0.032738095,0.013888889,0.004960317,0.001984127,0,0,0.007936508,0.007936508,0.008928571,0,0,0,0,0,0,0,0,0,0.000992063,0,0.001984127,0.051587302,0.05952381,0.01984127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240706/10MIN/WINDOWS_20240706.csv,22:24.9,1.421312,3,None,0,0,0,0,0,0,0,0.001440922,0.021613833,0.028818444,0.010086455,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001440922,0.005763689,0.0129683,0.031700288,0.0129683,0.030259366,0,0,0,0,0,0,0,0.005763689,0.031700288,0.004322767,0.025936599,0.010086455,0,0,0,0.004322767,0.020172911,0.011527378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015850144,0.063400576,0.102305476,0.018731988,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011527378,0.017291066,0,0,0,0,0
15,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240706/10MIN/WINDOWS_20240706.csv,23:24.9,1.097728,3,None,0,0.003731343,0.027985075,0.072761194,0.080223881,0.039179104,0.001865672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001865672,0.016791045,0.044776119,0.027985075,0.009328358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003731343,0.057835821,0.093283582,0.018656716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240706/10MIN/WINDOWS_20240706.csv,23:28.9,2.224128,3,None,0,0.002762431,0.008287293,0.035911602,0.03038674,0.004604052,0.011970534,0.005524862,0.003683241,0,0.008287293,0.037753223,0.012891344,0.00092081,0.004604052,0.013812155,0.002762431,0,0,0.00092081,0.011970534,0.023020258,0.023941068,0.002762431,0.003683241,0.015653775,0.004604052,0.008287293,0.010128913,0.016574586,0,0,0,0.019337017,0.012891344,0.011049724,0.016574586,0,0,0,0,0.012891344,0.009208103,0,0,0,0,0,0,0,0,0,0,0,0,0.001841621,0.004604052,0.005524862,0.007366483,0,0,0,0,0,0,0,0.002762431,0.024861878,0.043278085,0.003683241,0,0,0,0,0,0.006445672,0.007366483,0.004604052,0,0,0,0,0,0,0,0,0,0,0,0
17,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240706/10MIN/WINDOWS_20240706.csv,23:32.9,1.388544,3,None,0.044247788,0.008849558,0.02359882,0.039823009,0,0,0,0,0,0.010324484,0.013274336,0.005899705,0.004424779,0.001474926,0.001474926,0,0,0,0,0,0,0,0,0.014749263,0.05899705,0,0,0,0,0,0,0,0,0.013274336,0.001474926,0.016224189,0,0.013274336,0.025073746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002949853,0.019174041,0.010324484,0.002949853,0,0,0.004424779,0.005899705,0.007374631,0.056047198,0.060471976,0.032448378,0.001474926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240706/10MIN/WINDOWS_20240706.csv,23:36.9,1.482752,3,None,0.006906077,0,0,0.05801105,0.033149171,0,0.002762431,0.026243094,0.020718232,0.049723757,0.071823204,0.005524862,0,0,0,0,0,0,0,0,0.001381215,0.024861878,0.011049724,0.027624309,0.004143646,0,0,0,0,0,0,0,0,0,0.001381215,0.022099448,0.04558011,0.002762431,0,0,0.008287293,0.008287293,0.008287293,0.002762431,0.001381215,0.027624309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001381215,0,0.011049724,0.013812155,0.001381215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240706/10MIN/WINDOWS_20240706.csv,23:40.9,2.859008,3,None,0.021489971,0.01504298,0.015759312,0.043696275,0.006446991,0,0.00286533,0.014326648,0.020057307,0.016475645,0.038681948,0.022206304,0,0,0,0,0,0.000716332,0.015759312,0.022206304,0.007163324,0,0.010028653,0.009312321,0.017191977,0.006446991,0.010744986,0.007163324,0.008595989,0.004297994,0.001432665,0.007163324,0.001432665,0.017908309,0.006446991,0.014326648,0.010744986,0.006446991,0.005730659,0.005014327,0.025071633,0.002148997,0.001432665,0,0.005014327,0.01217765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008595989,0.025787966,0.006446991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240706/10MIN/WINDOWS_20240706.csv,24:28.9,1.159168,3,None,0.001766784,0.022968198,0.022968198,0.024734982,0.012367491,0.001766784,0,0.008833922,0.026501767,0.01590106,0.03180212,0.033568905,0.017667845,0.010600707,0.021201413,0.003533569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005300353,0.040636042,0.007067138,0,0,0,0.022968198,0.010600707,0.001766784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001766784,0.003533569,0.060070671,0.06360424,0.005300353,0.008833922,0.012367491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
