id,source_file,timestamp,density,group,species,1,2,3,4,5,6,7
92,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240915/10MIN/WINDOWS_20240915.csv,16:30.8,9.064448,8,SRKW,0.047116987,0.27417362,0.17158279,0.07367202,0.017719349,0.15752782,0.2582074
93,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240915/10MIN/WINDOWS_20240915.csv,16:34.8,5.660672,8,SRKW,0.030393101,0.32804322,0.23745908,0.03644587,0.00717031,0.25937116,0.10111723
94,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240915/10MIN/WINDOWS_20240915.csv,16:38.8,2.342912,8,SRKW,0.044307802,0.2806002,0.1927457,0.05948566,0.011753128,0.18362679,0.22748066
95,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240915/10MIN/WINDOWS_20240915.csv,16:42.8,9.035776,8,SRKW,0.041317325,0.3193357,0.23115993,0.04930736,0.010355064,0.21089506,0.13762955
96,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240915/10MIN/WINDOWS_20240915.csv,17:22.8,4.3008,8,SRKW,0.04474312,0.3142161,0.21698636,0.06015802,0.009152188,0.2643661,0.09037809
97,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240915/10MIN/WINDOWS_20240915.csv,17:26.8,5.996544,8,SRKW,0.035075564,0.32721055,0.16980362,0.059719153,0.009470562,0.20209113,0.19662939
98,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240915/10MIN/WINDOWS_20240915.csv,17:30.8,8.351744,8,SRKW,0.04167382,0.31851655,0.19608076,0.063131735,0.013269816,0.18419947,0.18312787
99,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240915/10MIN/WINDOWS_20240915.csv,17:34.8,6.402048,8,SRKW,0.04360146,0.29716218,0.19693112,0.066304855,0.01151699,0.21049996,0.17398332
100,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240915/10MIN/WINDOWS_20240915.csv,17:38.8,6.467584,8,SRKW,0.036914546,0.32187325,0.18653534,0.056272812,0.009453005,0.21077287,0.17817813
101,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240915/10MIN/WINDOWS_20240915.csv,17:42.8,5.996544,8,SRKW,0.0553336,0.31841967,0.18848266,0.07597098,0.014228109,0.20855603,0.13900897
102,C:/Users/TristanKleyn/Downloads/ecotypeClassification/binary/Binaries_20240915/10MIN/WINDOWS_20240915.csv,18:22.8,1.1264,8,SRKW,0.040991653,0.31027043,0.23958792,0.06013655,0.010650792,0.22467083,0.11369184
